=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [det8] gen 3800: val_logprob=-0.1706 val_acc=0.9768
  [det8] gen 4000: val_logprob=-0.1531 val_acc=0.9755
  [det8] gen 4200: val_logprob=-0.1256 val_acc=0.9740
  [det8] gen 4400: val_logprob=-0.1481 val_acc=0.9765
  [det8] gen 4600: val_logprob=-0.1334 val_acc=0.9799
  [det8] gen 4800: val_logprob=-0.1915 val_acc=0.9770
  [det8] gen 5000: val_logprob=-0.2018 val_acc=0.9722
[detector 8] done: balanced val_acc=0.974
  [det9] gen 1: val_logprob=-1.0990 val_acc=0.7360
  [det9] gen 200: val_logprob=-0.5721 val_acc=0.8940
  [det9] gen 400: val_logprob=-0.3896 val_acc=0.9357
  [det9] gen 600: val_logprob=-0.3364 val_acc=0.9461
  [det9] gen 800: val_logprob=-0.2858 val_acc=0.9584
  [det9] gen 1000: val_logprob=-0.2778 val_acc=0.9655
  [det9] gen 1200: val_logprob=-0.2443 val_acc=0.9694
  [det9] gen 1400: val_logprob=-0.2663 val_acc=0.9666
  [det9] gen 1600: val_logprob=-0.2730 val_acc=0.9711
  [det9] gen 1800: val_logprob=-0.2632 val_acc=0.9671
  [det9] gen 2000: val_logprob=-0.2797 val_acc=0.9684
  [det9] gen 2200: val_logprob=-0.2493 val_acc=0.9719
  [det9] gen 2400: val_logprob=-0.2474 val_acc=0.9725
  [det9] gen 2600: val_logprob=-0.2398 val_acc=0.9764
  [det9] gen 2800: val_logprob=-0.2215 val_acc=0.9790
  [det9] gen 3000: val_logprob=-0.2502 val_acc=0.9726
  [det9] gen 3200: val_logprob=-0.2334 val_acc=0.9770
  [det9] gen 3400: val_logprob=-0.2322 val_acc=0.9746
  [det9] gen 3600: val_logprob=-0.2278 val_acc=0.9761
  [det9] gen 3800: val_logprob=-0.2032 val_acc=0.9757
  [det9] gen 4000: val_logprob=-0.1866 val_acc=0.9788
  [det9] gen 4200: val_logprob=-0.1903 val_acc=0.9796
  [det9] gen 4400: val_logprob=-0.2258 val_acc=0.9763
  [det9] gen 4600: val_logprob=-0.2307 val_acc=0.9767
  [det9] gen 4800: val_logprob=-0.2684 val_acc=0.9736
  [det9] gen 5000: val_logprob=-0.2656 val_acc=0.9775
[detector 9] done: balanced val_acc=0.9788
--- LAYER 3: output mixer ---
  [mixer] gen 1: val_logprob=-0.1696 val_acc=0.9756 (argmax base 0.9778)
  [mixer] gen 100: val_logprob=-0.1651 val_acc=0.9746 (argmax base 0.9778)
  [mixer] gen 200: val_logprob=-0.1528 val_acc=0.9756 (argmax base 0.9778)
  [mixer] gen 300: val_logprob=-0.1395 val_acc=0.9784 (argmax base 0.9778)
  [mixer] gen 400: val_logprob=-0.1488 val_acc=0.9792 (argmax base 0.9778)
  [mixer] gen 500: val_logprob=-0.1362 val_acc=0.9774 (argmax base 0.9778)
  [mixer] gen 600: val_logprob=-0.1379 val_acc=0.9774 (argmax base 0.9778)
  [mixer] gen 700: val_logprob=-0.1578 val_acc=0.9788 (argmax base 0.9778)
  [mixer] gen 800: val_logprob=-0.1343 val_acc=0.9796 (argmax base 0.9778)
  [mixer] gen 900: val_logprob=-0.1302 val_acc=0.9776 (argmax base 0.9778)
  [mixer] gen 1000: val_logprob=-0.1285 val_acc=0.9784 (argmax base 0.9778)
  [mixer] gen 1100: val_logprob=-0.1203 val_acc=0.9770 (argmax base 0.9778)
  [mixer] gen 1200: val_logprob=-0.1304 val_acc=0.9768 (argmax base 0.9778)
  [mixer] gen 1300: val_logprob=-0.1174 val_acc=0.9786 (argmax base 0.9778)
  [mixer] gen 1400: val_logprob=-0.1433 val_acc=0.9754 (argmax base 0.9778)
  [mixer] gen 1500: val_logprob=-0.1244 val_acc=0.9784 (argmax base 0.9778)
  [mixer] gen 1600: val_logprob=-0.1292 val_acc=0.9792 (argmax base 0.9778)
  [mixer] gen 1700: val_logprob=-0.1340 val_acc=0.9792 (argmax base 0.9778)
  [mixer] gen 1800: val_logprob=-0.1403 val_acc=0.9776 (argmax base 0.9778)
  [mixer] gen 1900: val_logprob=-0.1400 val_acc=0.9782 (argmax base 0.9778)
  [mixer] gen 2000: val_logprob=-0.1352 val_acc=0.9768 (argmax base 0.9778)
--- LAYER 2b: pairwise disambiguators (45x one-vs-one) ---
  [pw01] gen 1: val_logprob=-0.6266 val_acc=0.9633
  [pw01] gen 400: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 800: val_logprob=-0.0000 val_acc=1.0000
  [pw01] gen 1200: val_logprob=-0.0000 val_acc=1.0000
  [pw01] gen 1600: val_logprob=-0.0000 val_acc=1.0000
  [pw01] gen 2000: val_logprob=-0.0000 val_acc=1.0000
  [pw01] gen 2400: val_logprob=-0.0000 val_acc=1.0000
  [pw01] gen 2800: val_logprob=-0.0000 val_acc=1.0000
  [pw02] gen 1: val_logprob=-1.0044 val_acc=0.7678
  [pw02] gen 400: val_logprob=-0.0932 val_acc=0.9918
  [pw02] gen 800: val_logprob=-0.1124 val_acc=0.9929
  [pw02] gen 1200: val_logprob=-0.0655 val_acc=0.9949
  [pw02] gen 1600: val_logprob=-0.1185 val_acc=0.9959
  [pw02] gen 2000: val_logprob=-0.1105 val_acc=0.9959
  [pw02] gen 2400: val_logprob=-0.1357 val_acc=0.9959
  [pw02] gen 2800: val_logprob=-0.1984 val_acc=0.9939
  [pw03] gen 1: val_logprob=-0.8002 val_acc=0.8626
  [pw03] gen 400: val_logprob=-0.0398 val_acc=0.9959
  [pw03] gen 800: val_logprob=-0.1464 val_acc=0.9939
  [pw03] gen 1200: val_logprob=-0.0771 val_acc=0.9980
  [pw03] gen 1600: val_logprob=-0.1357 val_acc=0.9969
  [pw03] gen 2000: val_logprob=-0.1304 val_acc=0.9969
  [pw03] gen 2400: val_logprob=-0.1227 val_acc=0.9980
  [pw03] gen 2800: val_logprob=-0.1227 val_acc=0.9980
  [pw04] gen 1: val_logprob=-0.8565 val_acc=0.8938
  [pw04] gen 400: val_logprob=-0.0185 val_acc=0.9980
  [pw04] gen 800: val_logprob=-0.0913 val_acc=0.9970
  [pw04] gen 1200: val_logprob=-0.0601 val_acc=0.9990
  [pw04] gen 1600: val_logprob=-0.0601 val_acc=0.9990
  [pw04] gen 2000: val_logprob=-0.0617 val_acc=0.9980
  [pw04] gen 2400: val_logprob=-0.0601 val_acc=0.9990
  [pw04] gen 2800: val_logprob=-0.0613 val_acc=0.9990
  [pw05] gen 1: val_logprob=-0.9674 val_acc=0.7885
  [pw05] gen 400: val_logprob=-0.0435 val_acc=0.9946
