=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer: 677 fixed dims (zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.8893
  [det7] gen 1000: val_logprob=-0.2061 val_acc=0.9691
  [det7] gen 1200: val_logprob=-0.1949 val_acc=0.9726
  [det7] gen 1400: val_logprob=-0.1694 val_acc=0.9773
  [det7] gen 1600: val_logprob=-0.1559 val_acc=0.9796
  [det7] gen 1800: val_logprob=-0.1724 val_acc=0.9799
  [det7] gen 2000: val_logprob=-0.1923 val_acc=0.9803
  [det7] gen 2200: val_logprob=-0.2065 val_acc=0.9779
  [det7] gen 2400: val_logprob=-0.2052 val_acc=0.9780
  [det7] gen 2600: val_logprob=-0.2324 val_acc=0.9775
  [det7] gen 2800: val_logprob=-0.2413 val_acc=0.9794
  [det7] gen 3000: val_logprob=-0.2256 val_acc=0.9810
  [det7] gen 3200: val_logprob=-0.2194 val_acc=0.9775
  [det7] gen 3400: val_logprob=-0.2347 val_acc=0.9787
  [det7] gen 3600: val_logprob=-0.2087 val_acc=0.9804
  [det7] gen 3800: val_logprob=-0.1923 val_acc=0.9819
  [det7] gen 4000: val_logprob=-0.1727 val_acc=0.9823
  [det7] gen 4200: val_logprob=-0.2015 val_acc=0.9822
  [det7] gen 4400: val_logprob=-0.2405 val_acc=0.9792
  [det7] gen 4600: val_logprob=-0.1571 val_acc=0.9830
  [det7] gen 4800: val_logprob=-0.1803 val_acc=0.9819
  [det7] gen 5000: val_logprob=-0.1447 val_acc=0.9827
[detector 7] done: balanced val_acc=0.9827
  [det8] gen 1: val_logprob=-1.2592 val_acc=0.6759
  [det8] gen 200: val_logprob=-0.6677 val_acc=0.8659
  [det8] gen 400: val_logprob=-0.4830 val_acc=0.9047
  [det8] gen 600: val_logprob=-0.3885 val_acc=0.9291
  [det8] gen 800: val_logprob=-0.3580 val_acc=0.9378
  [det8] gen 1000: val_logprob=-0.3336 val_acc=0.9471
  [det8] gen 1200: val_logprob=-0.2887 val_acc=0.9498
  [det8] gen 1400: val_logprob=-0.2658 val_acc=0.9515
  [det8] gen 1600: val_logprob=-0.2612 val_acc=0.9578
  [det8] gen 1800: val_logprob=-0.2398 val_acc=0.9584
  [det8] gen 2000: val_logprob=-0.2389 val_acc=0.9596
  [det8] gen 2200: val_logprob=-0.2417 val_acc=0.9583
  [det8] gen 2400: val_logprob=-0.2765 val_acc=0.9577
  [det8] gen 2600: val_logprob=-0.2393 val_acc=0.9613
  [det8] gen 2800: val_logprob=-0.2160 val_acc=0.9624
  [det8] gen 3000: val_logprob=-0.2484 val_acc=0.9586
  [det8] gen 3200: val_logprob=-0.2484 val_acc=0.9586
  [det8] gen 3400: val_logprob=-0.2366 val_acc=0.9630
  [det8] gen 3600: val_logprob=-0.2249 val_acc=0.9623
  [det8] gen 3800: val_logprob=-0.2081 val_acc=0.9622
  [det8] gen 4000: val_logprob=-0.2123 val_acc=0.9638
  [det8] gen 4200: val_logprob=-0.2110 val_acc=0.9646
  [det8] gen 4400: val_logprob=-0.2235 val_acc=0.9618
  [det8] gen 4600: val_logprob=-0.2283 val_acc=0.9591
  [det8] gen 4800: val_logprob=-0.2301 val_acc=0.9645
  [det8] gen 5000: val_logprob=-0.2592 val_acc=0.9590
[detector 8] done: balanced val_acc=0.9622
  [det9] gen 1: val_logprob=-1.0971 val_acc=0.7420
  [det9] gen 200: val_logprob=-0.6120 val_acc=0.8770
  [det9] gen 400: val_logprob=-0.4248 val_acc=0.9222
  [det9] gen 600: val_logprob=-0.3412 val_acc=0.9410
  [det9] gen 800: val_logprob=-0.2886 val_acc=0.9493
  [det9] gen 1000: val_logprob=-0.2600 val_acc=0.9530
  [det9] gen 1200: val_logprob=-0.2604 val_acc=0.9559
  [det9] gen 1400: val_logprob=-0.2409 val_acc=0.9567
  [det9] gen 1600: val_logprob=-0.2288 val_acc=0.9621
  [det9] gen 1800: val_logprob=-0.2119 val_acc=0.9616
  [det9] gen 2000: val_logprob=-0.2102 val_acc=0.9631
  [det9] gen 2200: val_logprob=-0.2073 val_acc=0.9646
  [det9] gen 2400: val_logprob=-0.2113 val_acc=0.9663
  [det9] gen 2600: val_logprob=-0.1971 val_acc=0.9680
  [det9] gen 2800: val_logprob=-0.1943 val_acc=0.9674
  [det9] gen 3000: val_logprob=-0.2223 val_acc=0.9647
  [det9] gen 3200: val_logprob=-0.2128 val_acc=0.9659
  [det9] gen 3400: val_logprob=-0.1919 val_acc=0.9671
  [det9] gen 3600: val_logprob=-0.1873 val_acc=0.9701
  [det9] gen 3800: val_logprob=-0.1890 val_acc=0.9667
  [det9] gen 4000: val_logprob=-0.2030 val_acc=0.9660
  [det9] gen 4200: val_logprob=-0.1960 val_acc=0.9663
  [det9] gen 4400: val_logprob=-0.2072 val_acc=0.9686
  [det9] gen 4600: val_logprob=-0.1918 val_acc=0.9695
  [det9] gen 4800: val_logprob=-0.1734 val_acc=0.9729
  [det9] gen 5000: val_logprob=-0.2022 val_acc=0.9696
[detector 9] done: balanced val_acc=0.9729
--- LAYER 3: output mixer ---
  [mixer] gen 1: val_logprob=-0.3877 val_acc=0.9614 (argmax base 0.9640)
  [mixer] gen 100: val_logprob=-0.3840 val_acc=0.9614 (argmax base 0.9640)
  [mixer] gen 200: val_logprob=-0.3665 val_acc=0.9632 (argmax base 0.9640)
  [mixer] gen 300: val_logprob=-0.3864 val_acc=0.9634 (argmax base 0.9640)
  [mixer] gen 400: val_logprob=-0.3461 val_acc=0.9652 (argmax base 0.9640)
  [mixer] gen 500: val_logprob=-0.3615 val_acc=0.9644 (argmax base 0.9640)
  [mixer] gen 600: val_logprob=-0.3534 val_acc=0.9654 (argmax base 0.9640)
  [mixer] gen 700: val_logprob=-0.3306 val_acc=0.9658 (argmax base 0.9640)
  [mixer] gen 800: val_logprob=-0.2877 val_acc=0.9656 (argmax base 0.9640)
  [mixer] gen 900: val_logprob=-0.2788 val_acc=0.9644 (argmax base 0.9640)
  [mixer] gen 1000: val_logprob=-0.3192 val_acc=0.9628 (argmax base 0.9640)
  [mixer] gen 1100: val_logprob=-0.2597 val_acc=0.9646 (argmax base 0.9640)
  [mixer] gen 1200: val_logprob=-0.3114 val_acc=0.9640 (argmax base 0.9640)
  [mixer] gen 1300: val_logprob=-0.3053 val_acc=0.9648 (argmax base 0.9640)
  [mixer] gen 1400: val_logprob=-0.2646 val_acc=0.9648 (argmax base 0.9640)
  [mixer] gen 1500: val_logprob=-0.2928 val_acc=0.9652 (argmax base 0.9640)
  [mixer] gen 1600: val_logprob=-0.2858 val_acc=0.9666 (argmax base 0.9640)
  [mixer] gen 1700: val_logprob=-0.2793 val_acc=0.9658 (argmax base 0.9640)
  [mixer] gen 1800: val_logprob=-0.2833 val_acc=0.9650 (argmax base 0.9640)
  [mixer] gen 1900: val_logprob=-0.3054 val_acc=0.9652 (argmax base 0.9640)
  [mixer] gen 2000: val_logprob=-0.2419 val_acc=0.9638 (argmax base 0.9640)
--- LAYER 2b: pairwise disambiguators (45x one-vs-one) ---
  [pw01] gen 1: val_logprob=-0.7036 val_acc=0.9301
  [pw01] gen 400: val_logprob=-0.1069 val_acc=0.9970
  [pw01] gen 800: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 1200: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 1600: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 2000: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 2400: val_logprob=-0.0566 val_acc=0.9991
  [pw01] gen 2800: val_logprob=-0.0566 val_acc=0.9991
  [pw02] gen 1: val_logprob=-0.9691 val_acc=0.7875
  [pw02] gen 400: val_logprob=-0.0517 val_acc=0.9939
  [pw02] gen 800: val_logprob=-0.0335 val_acc=0.9939
  [pw02] gen 1200: val_logprob=-0.0730 val_acc=0.9949
  [pw02] gen 1600: val_logprob=-0.1428 val_acc=0.9939
  [pw02] gen 2000: val_logprob=-0.1283 val_acc=0.9939
  [pw02] gen 2400: val_logprob=-0.0965 val_acc=0.9939
  [pw02] gen 2800: val_logprob=-0.0796 val_acc=0.9929
  [pw03] gen 1: val_logprob=-1.0310 val_acc=0.7823
  [pw03] gen 400: val_logprob=-0.0795 val_acc=0.9939
  [pw03] gen 800: val_logprob=-0.0614 val_acc=0.9949
  [pw03] gen 1200: val_logprob=-0.0510 val_acc=0.9950
  [pw03] gen 1600: val_logprob=-0.0245 val_acc=0.9960
  [pw03] gen 2000: val_logprob=-0.0191 val_acc=0.9990
  [pw03] gen 2400: val_logprob=-0.0000 val_acc=1.0000
  [pw03] gen 2800: val_logprob=-0.0099 val_acc=0.9990
  [pw04] gen 1: val_logprob=-0.7733 val_acc=0.8783
  [pw04] gen 400: val_logprob=-0.0805 val_acc=0.9980
  [pw04] gen 800: val_logprob=-0.0695 val_acc=0.9980
  [pw04] gen 1200: val_logprob=-0.0828 val_acc=0.9970
  [pw04] gen 1600: val_logprob=-0.1413 val_acc=0.9970
  [pw04] gen 2000: val_logprob=-0.0728 val_acc=0.9970
  [pw04] gen 2400: val_logprob=-0.0601 val_acc=0.9990
  [pw04] gen 2800: val_logprob=-0.1424 val_acc=0.9959
  [pw05] gen 1: val_logprob=-1.1091 val_acc=0.7026
  [pw05] gen 400: val_logprob=-0.2099 val_acc=0.9902
  [pw05] gen 800: val_logprob=-0.1557 val_acc=0.9926
  [pw05] gen 1200: val_logprob=-0.2279 val_acc=0.9925
  [pw05] gen 1600: val_logprob=-0.2288 val_acc=0.9903
  [pw05] gen 2000: val_logprob=-0.1887 val_acc=0.9934
  [pw05] gen 2400: val_logprob=-0.2807 val_acc=0.9924
  [pw05] gen 2800: val_logprob=-0.1535 val_acc=0.9935
  [pw06] gen 1: val_logprob=-0.9877 val_acc=0.7993
  [pw06] gen 400: val_logprob=-0.0299 val_acc=0.9949
  [pw06] gen 800: val_logprob=-0.0424 val_acc=0.9928
  [pw06] gen 1200: val_logprob=-0.0047 val_acc=0.9990
  [pw06] gen 1600: val_logprob=-0.0412 val_acc=0.9959
  [pw06] gen 2000: val_logprob=-0.0312 val_acc=0.9969
  [pw06] gen 2400: val_logprob=-0.0224 val_acc=0.9980
  [pw06] gen 2800: val_logprob=-0.1193 val_acc=0.9959
  [pw07] gen 1: val_logprob=-0.9757 val_acc=0.8076
  [pw07] gen 400: val_logprob=-0.0401 val_acc=0.9952
  [pw07] gen 800: val_logprob=-0.0449 val_acc=0.9969
  [pw07] gen 1200: val_logprob=-0.0535 val_acc=0.9950
  [pw07] gen 1600: val_logprob=-0.1091 val_acc=0.9972
  [pw07] gen 2000: val_logprob=-0.0073 val_acc=0.9991
  [pw07] gen 2400: val_logprob=-0.0195 val_acc=0.9990
  [pw07] gen 2800: val_logprob=-0.1395 val_acc=0.9971
  [pw08] gen 1: val_logprob=-0.9488 val_acc=0.8303
  [pw08] gen 400: val_logprob=-0.0136 val_acc=0.9959
  [pw08] gen 800: val_logprob=-0.0244 val_acc=0.9959
  [pw08] gen 1200: val_logprob=-0.0094 val_acc=0.9980
  [pw08] gen 1600: val_logprob=-0.0285 val_acc=0.9969
  [pw08] gen 2000: val_logprob=-0.0218 val_acc=0.9969
  [pw08] gen 2400: val_logprob=-0.0283 val_acc=0.9990
  [pw08] gen 2800: val_logprob=-0.0507 val_acc=0.9949
  [pw09] gen 1: val_logprob=-0.8859 val_acc=0.8499
  [pw09] gen 400: val_logprob=-0.0791 val_acc=0.9928
  [pw09] gen 800: val_logprob=-0.2022 val_acc=0.9928
  [pw09] gen 1200: val_logprob=-0.1911 val_acc=0.9918
  [pw09] gen 1600: val_logprob=-0.1996 val_acc=0.9938
  [pw09] gen 2000: val_logprob=-0.2088 val_acc=0.9938
  [pw09] gen 2400: val_logprob=-0.2523 val_acc=0.9928
  [pw09] gen 2800: val_logprob=-0.4927 val_acc=0.9897
[pairwise 0v*] done
  [pw12] gen 1: val_logprob=-0.7842 val_acc=0.9313
  [pw12] gen 400: val_logprob=-0.0150 val_acc=0.9980
  [pw12] gen 800: val_logprob=-0.0193 val_acc=0.9951
  [pw12] gen 1200: val_logprob=-0.0486 val_acc=0.9970
  [pw12] gen 1600: val_logprob=-0.0345 val_acc=0.9970
  [pw12] gen 2000: val_logprob=-0.2069 val_acc=0.9920
  [pw12] gen 2400: val_logprob=-0.1095 val_acc=0.9941
  [pw12] gen 2800: val_logprob=-0.1018 val_acc=0.9951
  [pw13] gen 1: val_logprob=-0.8504 val_acc=0.8106
  [pw13] gen 400: val_logprob=-0.0783 val_acc=0.9972
  [pw13] gen 800: val_logprob=-0.0603 val_acc=0.9981
  [pw13] gen 1200: val_logprob=-0.0698 val_acc=0.9971
  [pw13] gen 1600: val_logprob=-0.1013 val_acc=0.9981
  [pw13] gen 2000: val_logprob=-0.0259 val_acc=0.9990
  [pw13] gen 2400: val_logprob=-0.0020 val_acc=0.9991
  [pw13] gen 2800: val_logprob=-0.0019 val_acc=0.9990
  [pw14] gen 1: val_logprob=-0.8143 val_acc=0.9010
  [pw14] gen 400: val_logprob=-0.0867 val_acc=0.9940
  [pw14] gen 800: val_logprob=-0.1027 val_acc=0.9950
  [pw14] gen 1200: val_logprob=-0.2053 val_acc=0.9941
  [pw14] gen 1600: val_logprob=-0.2142 val_acc=0.9941
  [pw14] gen 2000: val_logprob=-0.1283 val_acc=0.9950
  [pw14] gen 2400: val_logprob=-0.1800 val_acc=0.9950
  [pw14] gen 2800: val_logprob=-0.0844 val_acc=0.9970
  [pw15] gen 1: val_logprob=-1.0289 val_acc=0.7828
  [pw15] gen 400: val_logprob=-0.1117 val_acc=0.9969
  [pw15] gen 800: val_logprob=-0.1043 val_acc=0.9970
  [pw15] gen 1200: val_logprob=-0.1223 val_acc=0.9980
  [pw15] gen 1600: val_logprob=-0.2333 val_acc=0.9937
  [pw15] gen 2000: val_logprob=-0.1706 val_acc=0.9970
  [pw15] gen 2400: val_logprob=-0.1876 val_acc=0.9969
  [pw15] gen 2800: val_logprob=-0.1546 val_acc=0.9967
  [pw16] gen 1: val_logprob=-1.0485 val_acc=0.8302
  [pw16] gen 400: val_logprob=-0.1292 val_acc=0.9960
  [pw16] gen 800: val_logprob=-0.1167 val_acc=0.9971
  [pw16] gen 1200: val_logprob=-0.0669 val_acc=0.9971
  [pw16] gen 1600: val_logprob=-0.1415 val_acc=0.9970
  [pw16] gen 2000: val_logprob=-0.1198 val_acc=0.9980
  [pw16] gen 2400: val_logprob=-0.1188 val_acc=0.9980
  [pw16] gen 2800: val_logprob=-0.1188 val_acc=0.9980
  [pw17] gen 1: val_logprob=-0.7870 val_acc=0.8632
